"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2790896,"December 30, 2023",California,Stockton,"2700 block of  S El Dorado St",0,1,0,0,0,N/A
2790633,"December 30, 2023",Texas,Beaumont,"6500 block of Bigner Rd",1,4,0,0,0,N/A
2791440,"December 30, 2023",California,Sacramento,"4700 block of Greenholme Dr",1,0,0,0,0,N/A
2794646,"December 30, 2023","North Carolina","Tabor City","Swamp Fox Hwy W",0,1,0,0,0,N/A
2790109,"December 30, 2023","North Carolina","Lewiston Woodville (Lewiston)","E Church St",0,1,0,0,0,N/A
2790107,"December 30, 2023",Colorado,Denver,"4400 block of Tower Rd",0,1,0,0,0,N/A
2790105,"December 30, 2023",Colorado,Denver,"California St and 17th St",0,1,0,0,0,N/A
2790450,"December 30, 2023",Kentucky,Louisville,"3200 block of Greendale Dr",0,1,0,0,0,N/A
2790681,"December 30, 2023",Georgia,Atlanta,"4005 Campbellton Rd SW",1,0,0,0,1,N/A
2793694,"December 30, 2023","North Carolina",Belmont,"6822 Wilkinson Blvd",0,1,0,0,1,N/A
2790876,"December 30, 2023",California,"Los Angeles","1600 block of 107th St",1,0,0,0,0,N/A
2791835,"December 30, 2023","North Carolina",Greenville,"1700 S Greene St",1,0,0,0,1,N/A
2791288,"December 30, 2023",Texas,Dallas,"442 S St Augustine Dr",1,0,0,0,0,N/A
2790072,"December 30, 2023",California,"Los Angeles","W 120th St and Raymond Ave",1,0,0,0,0,N/A
2790037,"December 30, 2023","South Carolina",Columbia,"4500 block of Bentley Dr",0,1,0,0,0,N/A
2790236,"December 30, 2023","New York",Newburgh,"Hasbrouck St and Mill St",0,1,0,0,0,N/A
2790124,"December 30, 2023","North Carolina",Whiteville,"1032 S Madison St",0,2,0,0,1,N/A
2795381,"December 30, 2023",Indiana,Gary,"2600 block of Connecticut St",1,0,0,0,0,N/A
2790769,"December 30, 2023",Indiana,Kokomo,"711 N Locke St",0,3,0,0,0,N/A
